Iteration,Discriminator Loss,Generator Loss
2520,1.303964,0.528385
2530,1.329242,0.557818
2540,1.382582,0.563364
2550,1.339593,0.578794
2560,1.273362,0.535017
2570,1.368985,0.646424
2580,1.353044,0.577995
2590,1.280412,0.504418
2600,1.366427,0.598422
2610,1.321386,0.526816
2620,1.269783,0.522115
2630,1.256556,0.517094
2640,1.355454,0.726773
2650,1.350682,0.583863
2660,1.362039,0.522376
2670,1.363611,0.634801
2680,1.319762,0.535100
2690,1.324978,0.656014
2700,1.289295,0.539316
2710,1.347459,0.625945
2720,1.352637,0.575050
2730,1.279251,0.533919
2740,1.249390,0.534582
2750,1.243089,0.499238
2760,1.380504,0.668179
2770,1.390530,0.528390
2780,1.244369,0.520306
2790,1.286866,0.505152
2800,1.242376,0.536951
2810,1.264384,0.577584
2820,1.360314,0.616492
2830,1.280473,0.545799
2840,1.335934,0.654241
2850,1.275140,0.519495
2860,1.360738,0.646963
2870,1.269320,0.561313
2880,1.342777,0.568817
2890,1.366928,0.581285
2900,1.368480,0.529578
2910,1.265612,0.506987
2920,1.373054,0.596939
2930,1.364838,0.682301
2940,1.261060,0.541759
2950,1.348661,0.509367
2960,1.383517,0.839915
2970,1.242831,0.520295
2980,1.352153,0.594994
2990,1.342711,0.598496
3000,1.366554,0.575114
3010,1.269508,0.497287
3020,1.362617,0.551692
3030,1.294832,0.542993
3040,1.359549,0.572687
3050,1.269146,0.542760
3060,1.332919,0.667079
3070,1.270098,0.470587
3080,1.347958,0.832505
3090,1.366227,0.545361
3100,1.249734,0.539089
3110,1.324928,0.541179
3120,1.355741,0.566348
3130,1.338516,0.549367
3140,1.338633,0.564413
3150,1.195756,0.577145
3160,1.252453,0.527947
3170,1.237967,0.528922
3180,1.260234,0.555724
3190,1.202790,0.502085
3200,1.378063,0.786379
3210,1.355131,0.561095
3220,1.323402,0.579718
3230,1.396923,0.841425
3240,1.371272,0.735571
3250,1.379077,0.797990
3260,1.408931,0.449567
3270,1.343195,0.619425
3280,1.446201,0.864580
3290,1.371203,0.584784
3300,1.329347,0.514032
3310,1.236114,0.494551
3320,1.365443,0.589162
3330,1.347672,0.765117
3340,1.379491,0.580130
3350,1.384167,0.785038
3360,1.228202,0.444217
3370,1.353975,0.561638
3380,1.368310,0.527857
3390,1.338083,0.614609
3400,1.246559,0.489840
3410,1.304867,0.540870
3420,1.413358,0.644112
3430,1.343178,0.548439
3440,1.355327,0.559469
3450,1.321465,0.593031
3460,1.245248,0.513176
3470,1.365141,0.576101
3480,1.256244,0.538456
3490,1.299241,0.690466
3500,1.223758,0.640690
3510,1.299643,0.500858
3520,1.359891,0.612549
3530,1.251157,0.547449
3540,1.376882,0.595362
3550,1.206725,0.522306
3560,1.224642,0.514989
3570,1.346815,0.573407
3580,1.328056,0.545323
3590,1.226232,0.528118
3600,1.320686,0.629190
3610,1.354606,0.561353
3620,1.374542,0.685402
3630,1.372533,0.590379
3640,1.339877,0.811288
3650,1.371194,0.539616
3660,1.307323,0.517603
3670,1.247856,0.523866
3680,1.334682,0.605583
3690,1.350040,0.759848
3700,1.399892,0.784260
3710,1.352882,0.793172
3720,1.354108,0.439215
3730,1.272625,0.564998
3740,1.352581,0.585309
3750,1.330782,0.571959
3760,1.356787,0.564190
3770,1.351179,0.560804
3780,1.289137,0.547155
3790,1.410931,0.639896
3800,1.375279,0.800876
3810,1.328100,0.550171
3820,1.301957,0.641486
3830,1.315260,0.576684
3840,1.374577,0.637909
3850,1.319780,0.557252
